Ticker,1D_Price,1D_MACD_Black,1D_MACD_Red,1D_RSI_2,1D_RSI_14,1D_Stoch_K_Black,1D_Stoch_D_Red,1D_NVI_Black,1D_NVI_Red,15m_Price,15m_MACD_Black,15m_MACD_Red,15m_RSI_2,15m_RSI_14,15m_Stoch_K_Black,15m_Stoch_D_Red,15m_NVI_Black,15m_NVI_Red
BAYERCROP.NS,4931.1,87.8,51.53,55.73,63.03,93.26,97.21,91.84,102.09,4950.0,-17.5,-12.61,85.71,43.45,40.54,21.21,99.58,98.77
BERGEPAINT.NS,472.1,5.82,-2.29,81.44,67.43,98.22,99.21,78.98,84.54,471.5,0.13,0.3,28.71,49.83,78.62,70.15,104.74,101.68
BDL.NS,1359.4,13.65,-8.38,86.6,60.22,98.09,98.09,42.82,59.51,1359.4,-0.53,-1.35,74.06,54.97,89.03,83.79,95.2,95.1
BEL.NS,455.65,2.81,-1.24,98.09,62.75,99.12,99.12,129.07,130.0,456.5,1.43,1.28,98.77,71.5,100.0,81.22,104.22,103.02
BHARATFORG.NS,1855.8,20.04,4.38,94.81,61.55,100.0,96.79,98.9,103.18,1856.0,6.21,5.19,48.99,64.92,91.31,85.87,105.17,101.77
BHEL.NS,309.26,8.63,2.75,99.79,72.84,100.0,100.0,84.49,89.21,310.4,3.06,1.33,97.37,87.89,99.48,94.78,105.35,102.36
BPCL.NS,307.95,-8.72,-14.36,69.77,50.95,93.51,94.62,72.9,88.3,309.0,0.19,0.5,73.7,53.6,26.38,17.37,83.44,85.24
BHARTIARTL.NS,1840.6,-9.68,-20.37,12.2,47.34,82.4,91.98,105.66,113.23,1836.0,-4.02,-5.68,25.78,42.76,85.15,93.07,101.11,100.42
BHARTIHEXA.NS,1533.0,-18.44,-23.36,55.03,46.48,83.94,76.32,55.5,57.36,1533.0,-1.16,-2.5,81.58,54.22,82.81,82.85,100.45,99.14
BIKAJI.NS,641.8,2.66,-0.62,53.43,55.49,91.86,94.65,36.14,45.14,641.8,0.51,0.25,60.69,57.08,95.52,95.93,94.16,94.73
BIOCON.NS,350.75,-8.96,-7.94,72.18,41.8,46.59,40.66,46.42,49.47,350.6,0.17,0.06,35.66,54.86,91.21,88.89,106.06,104.4
BSOFT.NS,388.15,-0.33,-5.39,92.97,58.77,93.37,89.45,40.73,52.7,388.15,1.4,1.82,63.67,59.67,41.05,32.36,103.51,102.5
BLUEDART.NS,5239.6,-59.74,-112.31,83.59,54.55,92.41,92.41,49.9,52.72,5250.0,21.28,18.82,37.24,69.32,96.07,98.69,109.03,105.55
BLUEJET.NS,416.75,5.2,-4.13,91.95,62.82,97.91,96.96,53.61,60.76,417.0,1.75,1.29,88.73,67.5,93.98,92.58,109.17,106.32
BLUESTARCO.NS,1849.3,-24.52,-54.98,99.3,59.44,100.0,100.0,44.99,48.52,1849.3,11.72,9.68,66.57,68.78,95.28,98.09,93.99,92.65
BBTC.NS,1501.0,-34.54,-54.17,76.16,49.84,94.87,93.47,16.79,21.95,1501.0,2.28,1.8,54.25,56.57,75.5,60.02,96.19,96.56
BOSCHLTD.NS,37440.0,1097.09,229.68,81.84,67.69,93.17,94.84,97.02,104.22,37380.0,80.62,47.35,43.92,62.4,79.49,90.43,101.26,99.64
FIRSTCRY.NS,247.43,4.56,1.16,79.39,58.84,93.49,87.86,18.06,32.23,245.35,-0.27,-0.32,12.36,40.25,59.71,80.58,75.5,79.56
BRIGADE.NS,738.5,9.19,-1.94,66.12,59.94,95.43,95.79,55.58,63.98,735.0,-0.77,-0.46,5.63,37.55,8.85,31.35,90.61,92.95
BRITANNIA.NS,5586.0,-76.03,-98.29,41.25,45.67,93.77,92.94,92.94,94.04,5600.0,-5.9,-10.59,79.93,53.45,96.8,96.46,103.41,101.75
MAPMYINDIA.NS,921.95,-29.56,-49.17,36.46,46.1,92.94,94.61,32.51,44.08,921.95,-2.42,-4.04,51.09,50.4,95.19,93.53,89.29,90.86
CCL.NS,1070.6,15.43,19.22,20.02,50.66,13.54,15.97,44.89,54.09,1072.8,-2.38,-3.03,54.36,46.13,30.55,49.66,102.52,100.66
CESC.NS,170.48,2.31,0.6,99.87,74.1,100.0,100.0,42.49,51.31,171.0,1.66,0.94,99.7,80.51,100.0,100.0,97.85,98.12
CGPOWER.NS,755.9,12.72,5.83,86.46,63.98,91.73,90.67,83.03,81.63,755.9,1.69,1.77,67.49,60.98,78.72,66.5,94.69,92.92
CRISIL.NS,4126.3,-50.28,-106.28,85.73,55.09,97.54,97.54,32.9,36.15,4190.0,4.57,3.07,92.77,66.85,44.66,34.06,112.53,108.41
CANFINHOME.NS,858.8,-2.0,-8.73,99.01,56.04,100.0,100.0,67.1,69.76,856.15,0.55,0.87,29.73,48.87,39.4,44.28,98.14,97.3
CANBK.NS,141.03,-0.85,-2.7,64.85,53.98,96.11,96.21,108.9,115.43,141.08,-0.07,-0.16,39.46,51.79,92.46,93.89,96.31,97.69
CAPLIPOINT.NS,1764.9,10.44,-14.49,91.94,65.11,96.52,96.52,39.2,42.77,1760.0,8.52,9.4,9.5,58.78,44.52,71.73,99.99,98.7
CGCL.NS,185.13,4.0,1.97,76.8,62.22,98.66,98.82,14.68,18.93,188.01,-0.04,-0.83,99.57,74.81,100.0,88.89,94.03,94.0
CARBORUNIV.NS,886.7,24.09,12.84,62.13,65.05,89.63,91.96,40.56,43.75,886.7,-0.02,-0.56,39.55,51.11,87.41,88.49,109.2,109.35
CARTRADE.NS,1797.9,-18.25,-43.85,43.4,49.37,72.15,77.99,22.15,25.53,1805.0,-4.02,-6.6,89.06,56.35,92.74,77.55,100.58,101.56
CASTROLIND.NS,180.58,-0.21,-0.62,85.59,54.14,92.46,87.99,21.89,25.29,180.5,0.17,0.06,42.31,57.45,95.26,89.4,95.43,96.29
CEATLTD.NS,3697.5,7.71,-33.06,87.68,57.26,92.53,93.09,26.86,34.68,3700.0,12.03,8.72,99.77,73.95,98.63,84.51,91.99,91.86
CENTRALBK.NS,35.83,-0.22,-0.62,78.62,53.93,96.68,95.81,17.02,18.81,35.84,0.02,0.02,25.26,51.9,63.93,77.36,108.87,104.89
CDSL.NS,1367.8,18.37,-5.82,93.89,64.78,97.62,97.12,61.88,59.91,1369.1,6.22,5.08,67.46,69.14,76.33,87.57,108.82,108.25
CHALET.NS,768.65,-4.5,-13.67,53.39,52.67,92.55,92.63,58.22,73.66,770.0,-0.55,-1.02,88.11,54.08,89.57,90.87,96.3,97.5
